Job Title,Role,Level,Company,Year Of Experiences,Location,Salary Range,Required Skills,Source Platform
[Fresher] Nhân Viên SRE,Fresher Nhân Viên SRE,Fresher,Công Ty CP Giải Pháp Thanh Toán Việt Nam (VNPAY),1 năm kinh nghiệm,"Tầng 8, số 22, Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",Thương lượng,"Ci/Cd Methodologies, Docker, Kubernetes, Docker, Docker",https://www.vietnamworks.com/fresher-nhan-vien-sre-1846958-jv?source=searchResults&searchType=2&placement=1847508&sortBy=latest
Hot Job! Regional IT Manager,Hot Job! Regional IT Manager,N/A,Navigos Search's Client,10 năm kinh nghiệm,Hanoi,Thương lượng,"Cybersecurity, Infrastructure Management, IT Management, IT Optimization, Network Architecture",https://www.vietnamworks.com/hot-job-regional-it-manager-1850421-jv?source=searchResults&searchType=2&placement=1850721&sortBy=latest
Java Backend Senior Developer,Java Backend Senior Developer,Senior,Capgemini Vietnam,4 năm kinh nghiệm,"Centre Point, 106 Nguyễn Văn Trỗi, Phường 08, Quận Phú Nhuận, Thành phố Hồ Chí Minh",Thương lượng,"AWS, AWS, Backend, Backend, Java System, SQL",https://www.vietnamworks.com/java-backend-senior-developer-1849611-jv?source=searchResults&searchType=2&placement=1849961&sortBy=latest
[ HO ] PWM MIS (Wealth Management),HO PWM MIS Wealth Management,N/A,Shinhan Bank Vietnam,2 năm kinh nghiệm,"Empress Tower, 138-142 Hai Ba Trung Street, Da Kao Ward, District 1, HCMC",Thương lượng,"Analytical Skills, Detail orientation, Detail orientation, Detail orientation, Mathematics, Bachelor Of Economics/Finance, Proficient In Sql, Excel",https://www.vietnamworks.com/ho-pwm-mis-wealth-management-1852617-jv?source=searchResults&searchType=2&placement=1852767&sortBy=latest
Chuyên Viên Lập Trình,Chuyên Viên Lập Trình,N/A,Trường Đại Học Ngoại Ngữ - Tin Học Thành Phố Hồ Chí Minh,1 năm kinh nghiệm,"Số 828 Sư Vạn Hạnh, Phường 13, Quận 10, TP. Hồ Chí Minh",Thương lượng,"PHP, Java, JavaScript, Laravel, Agile Scrum",https://www.vietnamworks.com/chuyen-vien-lap-trinh-1849336-jv?source=searchResults&searchType=2&placement=1849686&sortBy=latest
Technical Product Manager (English),Technical Product Manager English,N/A,Hoiio Pte Ltd,2 năm kinh nghiệm,"6th Floor, 40 Phạm Ngọc Thach, District 3, HCMC, Vietnam","$ 1,000-1,000 /tháng","Product Management, Project Management, Telecommunications, SaaSOps, English",https://www.vietnamworks.com/technical-product-manager-english-1853273-jv?source=searchResults&searchType=2&placement=1853373&sortBy=latest
Chuyên Viên Cao Cấp Vận Hành Ứng Dụng Công Nghệ Thông Tin,Chuyên Viên Cao Cấp Vận Hành Ứng Dụng Công Nghệ Thông Tin,N/A,Công Ty Cổ Phần Chứng Khoán Vndirect,4 năm kinh nghiệm,"HO: Số 1 Nguyễn Thượng Hiền, Hai Bà Trưng, Hà Nội. CN.HCM:  90 Pasteur, P. Bến Nghé, Q1",Thương lượng,"IT System Administration, Công Nghệ Thông Tin, Tài Chính Ngân Hàng, Tiếng Anh",https://www.vietnamworks.com/chuyen-vien-cao-cap-van-hanh-ung-dung-cong-nghe-thong-tin--1854846-jv?source=searchResults&searchType=2&placement=1854846&sortBy=latest
Data Analyst/Strategy Planning Specialist,Data Analyst/Strategy Planning Specialist,N/A,Navigos Search,3 năm kinh nghiệm,HCMC,"$ 1,000-1,500 /tháng","BI Tools, Communication, Data Analysis, Excel Proficiency, Presentation Skills",https://www.vietnamworks.com/data-analyststrategy-planning-specialist-1855322-jv?source=searchResults&searchType=2&placement=1855322&sortBy=latest
Colour Systems Developer,Colour Systems Developer,N/A,Coats Phong Phu,5 năm kinh nghiệm,"8th Floor, Cantavil Premier Building No.1 Song Hanh Hanoi Highway, An Phu Ward, Thu Duc City, HCMC, Vietnam.",Thương lượng,".Net, DevOps, JavaScript, Mobile Application, SharePoint",https://www.vietnamworks.com/colour-systems-developer-1852416-jv?source=searchResults&searchType=2&placement=1852566&sortBy=latest
MS D365 Customer Engagement Functional Consultant,MS D365 Customer Engagement Functional Consultant,N/A,Chi Nhánh Công Ty TNHH KPMG,Không yêu cầu năm kinh nghiệm,"10Floor, 115 Nguyễn Huệ, Ho Chi Minh City, Ho Chi Minh, Vietnam",Thương lượng,"Dynamics 365, CRM, Microsoft Power Platform",https://www.vietnamworks.com/ms-d365-customer-engagement-functional-consultant-1854101-jv?source=searchResults&searchType=2&placement=1854151&sortBy=latest
Kỹ Sư Vận Hành Hệ Thống Bảo Mật,Kỹ Sư Vận Hành Hệ Thống Bảo Mật,N/A,"Công Ty Cổ Phần Công Nghệ Thông Tin, Viễn Thông Và Tự Động Hoá Dầu Khí",3 năm kinh nghiệm,"tầng 14 khu văn phòng, tòa nhà C1 Thành Công, Phố Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội",220tr-280tr ₫/năm,"Vận Hành Hệ Thống, Bảo Mật Hệ Thống, Hệ Thống Bảo Mật, Firewall, An Toàn Thông Tin",https://www.vietnamworks.com/ky-su-van-hanh-he-thong-bao-mat-1840726-jv?source=searchResults&searchType=2&placement=1840876&sortBy=latest
Chuyên Viên Thông Tin Quản Trị Khối Tài Chính (MIS),Chuyên Viên Thông Tin Quản Trị Khối Tài Chính MIS,N/A,Ngân Hàng TMCP Tiên Phong (Tpbank),1 năm kinh nghiệm,"Tòa nhà TPBank, 57 Lý Thường Kiệt, phường Trần Hưng Đạo",Thương lượng,"Giải Pháp Thông Tin Quản Trị, Lập Trình Ứng Dụng VBA, Microsoft Power BI, SQL",https://www.vietnamworks.com/chuyen-vien-thong-tin-quan-tri-khoi-tai-chinh-mis--1851189-jv?source=searchResults&searchType=2&placement=1851389&sortBy=latest
Product Executive (Vietnam),Product Executive Vietnam,N/A,Tada Technologies,3 năm kinh nghiệm,"33 Trần Não, P.Bình An, Q2, TPHCM",Thương lượng,"Project Analysis, Business Analysis, Quality Assurance, UI/UX, Presentation Skills",https://www.vietnamworks.com/product-executive-vietnam-1850847-jv?source=searchResults&searchType=2&placement=1851097&sortBy=latest
Oracle ERP & Finance Systems Specialist,Oracle ERP & Finance Systems Specialist,N/A,B.Grimm Power Vietnam,5 năm kinh nghiệm,"Phòng 2101, Tầng 21, Tòa nhà Lim Tower, Số 9-11 Đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","$ 1,300-1,750 /tháng","Oracle ERP, PL/SQL, System Integration, Cloud Infrastructure, Microsoft Dynamics ERP",https://www.vietnamworks.com/oracle-erp-and-finance-systems-specialist-1849265-jv?source=searchResults&searchType=2&placement=1849615&sortBy=latest
Chuyên Viên IT (IT Support/help Desk),Chuyên Viên IT IT Support/help Desk,N/A,Công Ty Cổ Phần Tập Đoàn Mutosi,2 năm kinh nghiệm,"Tòa nhà BeaSky, đại lộ Chu Văn An, phường Đại Kim, quận Hoàng Mai, thành phố Hà Nội",$ 600-650 /tháng,"CCNA, Cloud, LINUX, IT System Administration, IT Support",https://www.vietnamworks.com/chuyen-vien-it-it-support-help-desk--1848826-jv?source=searchResults&searchType=2&placement=1849226&sortBy=latest
Senior Full Stack Engineer Cloud Marketplace,Senior Full Stack Engineer Cloud Marketplace,Senior,Bosch Global Software Technologies Company Limited,5 năm kinh nghiệm,"Etown 2, 364 Cong Hoa street, ward 13, Tan Binh district, HCM",Thương lượng,"Java Spring Boot, Restful Apis, Cloud Native Applications, Frontend Frameworks, Sql And No-Sql Databases",https://www.vietnamworks.com/senior-full-stack-engineer-cloud-marketplace-1848997-jv?source=searchResults&searchType=2&placement=1849397&sortBy=latest
Frontend,Frontend,N/A,CLEVERRADS COMPANY LIMITED,5 năm kinh nghiệm,"245 Sukhumvit, Bang Chak district, Phra Khanong District, Bangkok, Thailand.","$ 2,200-2,200 /tháng","CSS, HTML, JavaScript, React, Front End",https://www.vietnamworks.com/frontend-1851710-jv?source=searchResults&searchType=2&placement=1851910&sortBy=latest
Senior Business Project Management Officer,Senior Business Project Management Officer,Senior,Trusting Social,6 năm kinh nghiệm,"Havana Tower, 132, Ham Nghi Str., Ben Thanh Ward, Dist. 1, HCMC",Thương lượng,"Project Management, Business Strategy",https://www.vietnamworks.com/senior-business-project-management-officer-1837978-jv?source=searchResults&searchType=2&placement=1838378&sortBy=latest
Lập Trình Viên .NET,Lập Trình Viên .NET,N/A,Tổng Công Ty Bảo Hiểm BIDV (BIC),1 năm kinh nghiệm,"Tầng 11 – Tòa nhà 263 Cầu Giấy, Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội.","$ 800-1,500 /tháng","C#, .NET, SQL, Java, Oracle",https://www.vietnamworks.com/lap-trinh-vien-net--1855610-jv?source=searchResults&searchType=2&placement=1855610&sortBy=latest
IT Support (Trainee),IT Support Trainee,N/A,Hong Leong BANK Vietnam Limited,1 năm kinh nghiệm,"Centec Tower, 72-74 Nguyen Thi Minh Khai, District 3",Từ 7tr ₫/tháng,"Bash Shell Scripting, Communication Skills, Linux, Operating System, PC Hardware",https://www.vietnamworks.com/it-support-trainee-1849737-jv?source=searchResults&searchType=2&placement=1850087&sortBy=latest
IT Support Specialist,IT Support Specialist,N/A,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,Không yêu cầu năm kinh nghiệm,"Tầng 5, Pax Sky, 63-65 Ngô Thì Nhậm, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, TP Hà Nội, Việt Nam",Thương lượng,"IT System Administration, IT Helpdesk, IT Support, Infrastructure Supervision, Application Support",https://www.vietnamworks.com/it-support-specialist--1840590-jv?source=searchResults&searchType=2&placement=1840840&sortBy=latest
System Support Team Head,System Support Team Head,N/A,Shinhan Vietnam Finance Company Limited,5 năm kinh nghiệm,17F & 23/F. Saigon Trade Center. 37 Ton Duc Thang. D.1. HCMC. Vietnam,Thương lượng,"System Support, Application Support, PL/SQL, Credit Card System",https://www.vietnamworks.com/system-support-team-head-1836834-jv?source=searchResults&searchType=2&placement=1837084&sortBy=latest
Dev AI (Senior),Dev AI Senior,Senior,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,2 năm kinh nghiệm,"Tầng 6 - Zodiac, 19 Duy Tân, Cầu Giấy, Hà Nội","$ 800-1,500 /tháng","AI, DevOps",https://www.vietnamworks.com/dev-ai-senior-1849160-jv?source=searchResults&searchType=2&placement=1849560&sortBy=latest
Ecommerce Performance Analyst/ Merchandise Planner,Ecommerce Performance Analyst/ Merchandise Planner,N/A,CRC Sports VN,1 năm kinh nghiệm,"163 Phan Đăng Lưu, Phường 3, Quận Phú Nhuận, TP.HCM",Thương lượng,"Data Analysis, Ecommerce Solution, Inventory Management, Merchandise Planning, Promotional Marketing",https://www.vietnamworks.com/ecommerce-performance-analyst-merchandise-planner-1853879-jv?source=searchResults&searchType=2&placement=1853979&sortBy=latest
Nhân Viên Vận Hành Chuỗi Phần Công Nghệ (Đi Làm Sau Tết),Nhân Viên Vận Hành Chuỗi Phần Công Nghệ Đi Làm Sau Tết,N/A,Công ty Cổ phần Trà và Cà Phê Rosier,3 năm kinh nghiệm,"Số 3 Nguyễn Như Uyên, Yên Hoà, Cầu Giấy, Hà Nội",Thương lượng,"Giám Sát Hệ Thống, công nghệ, Vận Hành, Thương mại điện tử (Shopee, TikTok Shop), MyXTeam",https://www.vietnamworks.com/nhan-vien-van-hanh-chuoi-phan-cong-nghe-dji-lam-sau-tet-1854934-jv?source=searchResults&searchType=2&placement=1854934&sortBy=latest
SAP BW/ SAC Senior Analyst - AMS Project,SAP BW/ SAC Senior Analyst - AMS Project,Senior,Deloitte Consulting SEA,1 năm kinh nghiệm,"18th Floor, Times Square Building, 22-36 Nguyen Hue, District 1, HCMC, Vietnam",Thương lượng,"SAP S/4HANA, ERP System, Analytical Thinking, SAP BW/4HANA, SACS",https://www.vietnamworks.com/sap-bw-sac-senior-analyst-ams-project-1848370-jv?source=searchResults&searchType=2&placement=1848820&sortBy=latest
Chuyên Viên Phân Tích Nghiệp Vụ (BA),Chuyên Viên Phân Tích Nghiệp Vụ BA,N/A,Hyundai Thành Công Việt Nam (Hyundai.thanhcong.vn),Không yêu cầu năm kinh nghiệm,"Tầng 12, tòa nhà Thành Công Tower, số 79 Đường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Thương lượng,"Business Analysis, Công Nghệ Thông Tin, CRM 365, UI/UX, Test Analyst",https://www.vietnamworks.com/chuyen-vien-phan-tich-nghiep-vu-ba--1852227-jv?source=searchResults&searchType=2&placement=1852427&sortBy=latest
Điều Khiển Điện/ Lập Trình PLC (Nhật Bản/HCM),Điều Khiển Điện/ Lập Trình PLC Nhật Bản/HCM,N/A,Công Ty TNHH R Techno Việt Nam,2 năm kinh nghiệm,"107 Đường Tân Cảng, Phường 25, Quận Bình Thạnh, TP.HCM","Từ ¥ 350,000 /tháng","Lập Trình PLC, Thiết Kế Máy Gia Công, Thiết Kế Điện, Tiếng Nhật N3, Kỹ Năng Lập Trình Macro",https://www.vietnamworks.com/djieu-khien-djien-lap-trinh-plc-nhat-banhcm-1838709-jv?source=searchResults&searchType=2&placement=1838959&sortBy=latest
Senior Business Analyst (CMS),Senior Business Analyst CMS,Senior,Techcombank,3 năm kinh nghiệm,"Head Office: 6 Quang Trung Street, Hoan Kiem District, Hanoi","$ 1,000-2,500 /tháng","Information Technology, Business Administration, AEM, Agile, Jira",https://www.vietnamworks.com/senior-business-analyst-cms-1848043-jv?source=searchResults&searchType=2&placement=1848493&sortBy=latest
"SAP MM Senior Consultant (Mandarin Speaking, AMS Project)","SAP MM Senior Consultant Mandarin Speaking, AMS Project",Senior,Deloitte Consulting SEA,5 năm kinh nghiệm,"18th Floor, Times Square Building, 22-36 Nguyen Hue, District 1, HCMC, Vietnam",Thương lượng,"SAP S/4HANA, ERP System, Analytical Thinking, Bilingual In English and Mandarin, Sap Mm",https://www.vietnamworks.com/sap-mm-senior-consultant-mandarin-speaking-ams-project-1848357-jv?source=searchResults&searchType=2&placement=1848807&sortBy=latest
QA Team Leader,QA Team Leader,N/A,WEEDS VINA,5 năm kinh nghiệm,"174 Thái Hà, Trung Liệt, Đống Đa, Hà Nội","600-1,000 ₫/tháng","Test Thủ Công, QA, Analytics Tool, Quality Tools, Giao Tiếp",https://www.vietnamworks.com/qa-team-leader--1847521-jv?source=searchResults&searchType=2&placement=1848021&sortBy=latest
Data Engineer (Data Bricks/ Devops/dbt Language),Data Engineer Data Bricks/ Devops/dbt Language,N/A,Chi Nhánh Công Ty TNHH KPMG,Không yêu cầu năm kinh nghiệm,"10Floor, 115 Nguyễn Huệ, Ho Chi Minh City, Ho Chi Minh, Vietnam",Thương lượng,"Data Architecture, Data analysis, Data Models, Data Mining, Big Data",https://www.vietnamworks.com/data-engineer-data-bricks-devops-dbt-language-1839229-jv?source=searchResults&searchType=2&placement=1839479&sortBy=latest
Product Owner (Project Manager Assistant) - Game Industry,Product Owner Project Manager Assistant - Game Industry,N/A,Navigos Search's Client,3 năm kinh nghiệm,Hanoi,"$ 700-1,000 /tháng","Product Vision, Communication Skills, Problem Solving, Multitasking, Team Motivation",https://www.vietnamworks.com/product-owner-project-manager-assistant-game-industry-1848310-jv?source=searchResults&searchType=2&placement=1848760&sortBy=latest
IT Manager,IT Manager,N/A,New World Fashion Group,1 năm kinh nghiệm,"Road No 353, Anh Dung Ward, Duong Kinh District,  Hai Phong City,  Viet Nam",Thương lượng,"Server Management, LAN, WAN, Security, Networking",https://www.vietnamworks.com/it-manager-81--1852693-jv?source=searchResults&searchType=2&placement=1852843&sortBy=latest
IT System & Network Administrator,IT System & Network Administrator,N/A,Công Ty TNHH R Techno Việt Nam,Không yêu cầu năm kinh nghiệm,"107 Đường Tân Cảng, Phường 25, Quận Bình Thạnh, TP.HCM","$ 600-1,000 /tháng","IT System Administration, IT Hardware, Technical Support, Tiếng Nhật Trung Cấp, Quản Trị Mạng Lan",https://www.vietnamworks.com/it-system-network-administrator-10--1843834-jv?source=searchResults&searchType=2&placement=1843884&sortBy=latest
On Job Training (LSI Design),On Job Training LSI Design,N/A,"Toshiba Software Development (Vietnam) Co., Ltd",Không yêu cầu năm kinh nghiệm,"16 Floor - VIT Tower, 519 Kim Ma, Ba Dinh, Hanoi",Tới 300 ₫/tháng,"Linux, Technical Design, Digital Design, Electronic, Telecommunications",https://www.vietnamworks.com/on-job-training-lsi-design-1851079-jv?source=searchResults&searchType=2&placement=1851329&sortBy=latest
NodeJS Backend Developer,NodeJS Backend Developer,N/A,SAPP Academy,2 năm kinh nghiệm,"Số 54 Lê Thanh Nghị, quận Hai Bà Trưng, Hà Nội",13tr-25tr ₫/tháng,"Expressjs, Nest.js, Nest.js, Node.js, Oop, RESTful API",https://www.vietnamworks.com/nodejs-backend-developer-1855807-jv?source=searchResults&searchType=2&placement=1855807&sortBy=latest
Văn Phòng Chuyển Đổi - Chuyên Gia Kiến Trúc Sư Giải Pháp (Solution Architect),Văn Phòng Chuyển Đổi - Chuyên Gia Kiến Trúc Sư Giải Pháp Solution Architect,N/A,Ngân hàng Lộc Phát Việt Nam LPBank,5 năm kinh nghiệm,"LPB Tower, số 210 Đường Trần Quang Khải, French Quarter, Trang Tien, Hoàn Kiếm, Hanoi, Vietnam",Thương lượng,"Data Warehouse, Giải Pháp Công Nghệ, Data Warehouse, Data Warehouse, Data Warehouse",https://www.vietnamworks.com/van-phong-chuyen-djoi-chuyen-gia-kien-truc-su-giai-phap-solution-architect-1849887-jv?source=searchResults&searchType=2&placement=1850187&sortBy=latest
RPA Manager,RPA Manager,N/A,Navigos Search's Client,8 năm kinh nghiệm,Hanoi,"$ 3,500-4,000 /tháng","Cloud Platform, Communication Skills, Problem-solving, RPA, Stakeholder Management",https://www.vietnamworks.com/rpa-manager-1848496-jv?source=searchResults&searchType=2&placement=1848946&sortBy=latest
ERP Consultant (SCM and Product Development) (up to 3000 USD),ERP Consultant SCM and Product Development up to 3000 USD,N/A,Navigos Search's Client,5 năm kinh nghiệm,Hanoi,"$ 2,000-3,000 /tháng","Communication Skills, ERP Implementation, Product Development, Supply Chain Management, Vendor Management",https://www.vietnamworks.com/erp-consultant-scm-and-product-development-up-to-3000-usd-1847004-jv?source=searchResults&searchType=2&placement=1847554&sortBy=latest
Business Analyst Tại Hà Nội (Upto 1000$),Business Analyst Tại Hà Nội Upto 1000$,N/A,Công Ty Cổ Phần Truyền Thông GAPIT,2 năm kinh nghiệm,"Phòng 902, Tầng 9, Tòa nhà LakeView, D10 Giảng Võ, Hà Nội","$ 700-1,000 /tháng","Giao Tiếp, Làm Việc Nhóm, Phân Tích Dữ Liệu, SQL",https://www.vietnamworks.com/business-analyst-tai-ha-noi-upto-1000dollar--1852868-jv?source=searchResults&searchType=2&placement=1853018&sortBy=latest
Embedded Software Development Engineer,Embedded Software Development Engineer,N/A,Công Ty TNHH Đà Nẵng Nippon Seiki,Không yêu cầu năm kinh nghiệm,"Area C, 14 floor, Da Nang Software Park, 02 Quang Trung Streets, Hai Chau District, Da Nang City",Thương lượng,"C++, MATLAB, Simulink, Embedded Software, Software Technology",https://www.vietnamworks.com/embedded-software-development-engineer--1854978-jv?source=searchResults&searchType=2&placement=1854978&sortBy=latest
Nhân Viên Kỹ Thuật IT,Nhân Viên Kỹ Thuật IT,N/A,Công Ty Cổ Phần Đầu Tư Và Công Nghệ OSB (Osb Jsc.),1 năm kinh nghiệm,"Trụ sở chính: Tầng 6, 7 tòa nhà Detech Tower, số 8 Tôn Thất Thuyết, Mỹ Đình, Nam Từ Liêm, Hà Nội                        Vp.tại Hồ Chí Minh: Phòng 1001, lầu 10 tòa nhà Vina Giầy, 180-182 Lý Chính Thắng, Phường 9, Quận 3, Hồ Chí Minh",Thương lượng,"Python, Kỹ Thuật Phần Mềm, Tiếng Anh, Quản Trị Hệ Thống, Giải Pháp Kỹ Thuật",https://www.vietnamworks.com/nhan-vien-ky-thuat-it--1853464-jv?source=searchResults&searchType=2&placement=1853564&sortBy=latest
Data Scientist Expert Hà Nội - EDA,Data Scientist Expert Hà Nội - EDA,N/A,VPBank - Https://tuyendung.vpbank.com.vn/,5 năm kinh nghiệm,"Khối Quản Trị Nguồn Nhân Lực - 89 Láng Hạ, Quận Đống Đa, Hà Nội",Thương lượng,"Data Science, Phân Tích Dữ Liệu, Python, SQL, Thống Kê",https://www.vietnamworks.com/data-scientist-expert-ha-noi-eda-1852875-jv?source=searchResults&searchType=2&placement=1853025&sortBy=latest
IT Administration Lead,IT Administration Lead,N/A,Public Bank Vietnam Ltd,1 năm kinh nghiệm,"tầng 1,2,10,11 tòa nhà Tungshing Square, 2 Ngô Quyền, Hà Nội","Tới $ 2,500 /tháng","Communication skills, IT Governance, IT Risk Management, IT Security, Technology stack components",https://www.vietnamworks.com/it-administration-lead-1847783-jv?source=searchResults&searchType=2&placement=1848283&sortBy=latest
Chuyên Viên Quản Lý Dự Án,Chuyên Viên Quản Lý Dự Án,N/A,Chi Nhánh Trung Tâm Công Nghệ Thông Tin Tập Đoàn Bảo Việt,2 năm kinh nghiệm,"TT CNTT Tập đoàn Bảo việt, 71 Ngô Sỹ Liên, Đống Đa, Hà Nội",Thương lượng,"Khoa Học Máy Tính, Phân Tích Số Liệu, Quản Lý Dự Án Công Nghệ, Quản Lý Dự Án",https://www.vietnamworks.com/chuyen-vien-quan-ly-du-an-1846897-jv?source=searchResults&searchType=2&placement=1847447&sortBy=latest
Software Expert (Java/springboot),Software Expert Java/springboot,N/A,Navigos Search's Client,8 năm kinh nghiệm,Hanoi,"$ 3,000-3,500 /tháng","Agile, Project Management, Software Development, Team Development, Technical Management",https://www.vietnamworks.com/software-expert-javaspringboot-1848497-jv?source=searchResults&searchType=2&placement=1848897&sortBy=latest
"Senior Solution Consultant, Presales","Senior Solution Consultant, Presales",Senior,Chi Nhánh Công Ty TNHH KPMG,5 năm kinh nghiệm,"10Floor, 115 Nguyễn Huệ, Ho Chi Minh City, Ho Chi Minh, Vietnam",Thương lượng,"Communication Skills, Manage ERP Software, Oracle CRM, Project Management, Solution Design",https://www.vietnamworks.com/senior-solution-consultant-presales-1849456-jv?source=searchResults&searchType=2&placement=1849806&sortBy=latest
SysOps Engineer,SysOps Engineer,N/A,,3 năm kinh nghiệm,,"$ 1,500-2,000 /tháng","Linux Clustering, Docker, Kubernetes, IT Monitoring, English",https://www.vietnamworks.com/sysops-engineer-1853469-jv?source=searchResults&searchType=2&placement=1853569&sortBy=latest
Business Development Manager,Business Development Manager,N/A,BTM Global Consulting Vietnam,5 năm kinh nghiệm,Helios building- Quang Trung Software Park,"$ 1,000-3,000 /tháng","Kinh Doanh, B2B Sales, Marketing, Business Development, ERP",https://www.vietnamworks.com/business-development-manager--1851066-jv?source=searchResults&searchType=2&placement=1851316&sortBy=latest
Senior Back-end Developer,Senior Back-end Developer,Senior,Navigos Group,5 năm kinh nghiệm,"HCM Office: 20th Floor, E Town Central - 11 Doan Van Bo, Ward 13, District 4; Hanoi office: 8th Floor, V Building, 125-127 Ba Trieu St, Hai Ba Trung District","$ 1,200-2,000 /tháng","Python Programming, Technical Expertise In Data-Driven Systems, Algorithm, Data Structure, System Design",https://www.vietnamworks.com/senior-back-end-developer-1854526-jv?source=searchResults&searchType=2&placement=1854576&sortBy=latest
Security Engineering Manager (SOC),Security Engineering Manager SOC,N/A,Navigos Search's Client,5 năm kinh nghiệm,Hanoi / HCMC,"$ 5,000-6,000 /tháng","Siem Engineering, Data Processing, Data Pipeline, Cybersecurity, Leadership",https://www.vietnamworks.com/security-engineering-manager-soc-1849390-jv?source=searchResults&searchType=2&placement=1849740&sortBy=latest
Senior Lead Developer,Senior Lead Developer,Senior,Công Ty TNHH Tsarsi,6 năm kinh nghiệm,"Tầng 20, 93-95 Hàm Nghi, Phường Nguyễn Thái Bình, Quận 1, TP Hồ Chí Minh",Thương lượng,".NET, ReactJS, Typescript, Azure SQL, Giải pháp SaaS",https://www.vietnamworks.com/senior-lead-developer-1849488-jv?source=searchResults&searchType=2&placement=1849838&sortBy=latest
C / C++ Software Engineer - Relocation Bonus - Salary Up to 2500$ - Hybrid Working,C / C++ Software Engineer - Relocation Bonus - Salary Up to 2500$ - Hybrid Working,N/A,LG Electronics Development Vietnam Company Limited,1 năm kinh nghiệm,"The 3rd Floor, Vinh Trung Plaza, 255 Hung Vuong, Hai Chau District, Da Nang City","$ 800-2,500 /tháng","C++, C/C++, Software Development, OOP, Design Patterns",https://www.vietnamworks.com/c-c-plus-plus-software-engineer-relocation-bonus-salary-up-to-2500-hybrid-working-1-2-1--1848338-jv?source=searchResults&searchType=2&placement=1848788&sortBy=latest
Kỹ Sư Công Nghệ Thông Tin,Kỹ Sư Công Nghệ Thông Tin,N/A,Công Ty TNHH Cảng Container Quốc Tế Hateco Hải Phòng,1 năm kinh nghiệm,"Số 5 Lý Tự Trọng, phường Minh Khai, quận Hồng Bàng, TP. Hải Phòng, Việt Nam",Thương lượng,"Bảo Trì Mạng, CCNA, Hạ Tầng Công Nghệ, Hỗ Trợ Kỹ Thuật, Quản Trị Hạ Tầng CNTT",https://www.vietnamworks.com/ky-su-cong-nghe-thong-tin-1844772-jv?source=searchResults&searchType=2&placement=1844772&sortBy=latest
"Kỹ Sư Giải Pháp, Tích Hợp Hệ Thống (Lương Upto 30 Triệu)","Kỹ Sư Giải Pháp, Tích Hợp Hệ Thống Lương Upto 30 Triệu",N/A,Chi Nhánh Giải Pháp Và Tích Hợp Hệ Thống Công Ty TNHH Một Thành Viên Thanh Bình - BCA,2 năm kinh nghiệm,Tầng M – Tòa Nhà Green Star – 234 Phạm Văn Đồng,"Tới $ 1,200 /tháng","Tư Vấn Kỹ Thuật, Giải Pháp Kỹ Thuật, Giải Pháp Tích Hợp, Hệ Thống Mạng, Tiếng Anh",https://www.vietnamworks.com/ky-su-giai-phap-tich-hop-he-thong-luong-upto-30-trieu--1849528-jv?source=searchResults&searchType=2&placement=1849878&sortBy=latest
"DevOps Engineer (Software Configuration Management, Yocto)","DevOps Engineer Software Configuration Management, Yocto",N/A,LG Electronics Development Viet Nam Company Limited,Không yêu cầu năm kinh nghiệm,"Tầng 32 & 34, tòa nhà Keangnam Landmark 72, đường Phạm Hùng, Nam Từ Liêm, Hà Nội","$ 1,500-2,200 /tháng","Linux Kernel, Yocto Project, AWS Docker, Jenkins, CI/CD",https://www.vietnamworks.com/devops-engineer-software-configuration-management-yocto-1853588-jv?source=searchResults&searchType=2&placement=1853688&sortBy=latest
Trưởng Phòng Hạ Tầng Và Bảo Mật,Trưởng Phòng Hạ Tầng Và Bảo Mật,N/A,ASIA INGREDIENTS GROUP,5 năm kinh nghiệm,"Lô TH-1B, Đường số 7, Khu Thương mại Nam, Khu Chế xuất Tân Thuận, Phường Tân Thuận Đông, Quận 7, TP. Hồ Chí Minh",Thương lượng,"Bảo Mật Web, Cài Đặt Hệ Thống, Quản Lý Dịch Vụ, Quản Lý Lãnh Đạo, Quản Trị Thông Tin",https://www.vietnamworks.com/truong-phong-ha-tang-va-bao-mat-1851402-jv?source=searchResults&searchType=2&placement=1851652&sortBy=latest
