Job Title,Role,Level,year_of_experiences,Company,Location,Salary Range,Required Skills,Source Platform,Year Of Experiences
Physical Design Engineer (Hybrid Working),Physical Design Engineer Hybrid Working,,3 năm kinh nghiệm,Navigos Search,Hanoi / HCMC,$ 50tr-70tr /tháng,"Physical Design, RTL Development, Floorplan, English: Intermediate Level, Semiconductor Process",https://www.vietnamworks.com/physical-design-engineer-hybrid-working-1836334-jv?source=searchResults&searchType=2&placement=1837034&sortBy=date,
Head of IT Department,Head of IT Department,,5 năm kinh nghiệm,Public Bank Securities Vietnam Company Limited (PBSV),,Thương lượng,"Information Security, Trading Platforms, Computer Science, Fintech, Leadership",https://www.vietnamworks.com/head-of-it-department-1826372-jv?source=searchResults&searchType=2&placement=1826722&sortBy=date,
Mobile Developer (Tiếng Nhật N1~N4),Mobile Developer Tiếng Nhật N1~N4,,Không yêu cầu năm kinh nghiệm,Công Ty TNHH GMO-Z.com Financial System VN,"5th Floor, Ocean Park Building, 1 Đào Duy Anh, Phương Mai, Đống Đa, Hà Nội","$ 1,000-3,000 /tháng","Tiếng Nhật N4, Unit Testing, Android, Mobile App Development, Kotlin",https://www.vietnamworks.com/mobile-developer-tieng-nhat-n1-n4--1843625-jv?source=searchResults&searchType=2&placement=1844125&sortBy=date,
Senior Solution Architect (.NET Core; React; Node.js),Senior Solution Architect .NET Core; React; Node.js,Senior,5 năm kinh nghiệm,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,"Tầng 1, Pax Sky, 63-65 Ngô Thì Nhậm, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, TP Hà Nội, Việt Nam",Thương lượng,"AWS Cloud services, .NET Core, HTML5, DevOps, Leadership",https://www.vietnamworks.com/senior-solution-architect-net-core-react-node-js-1843633-jv?source=searchResults&searchType=2&placement=1843833&sortBy=date,
IT Software Engineer,IT Software Engineer,,Không yêu cầu năm kinh nghiệm,Công Ty TNHH Framas Korea Vina,"Xưởng 1-4, Đường số 1, KCN Long Thành, Đồng Nai, Việt Nam",Thương lượng,"Software Engineering, .Net, SQL, Oracle, Software Development",https://www.vietnamworks.com/it-software-engineer--1845186-jv?source=searchResults&searchType=2&placement=1845486&sortBy=date,
4G/5G RAN Engineer,4G/5G RAN Engineer,,Không yêu cầu năm kinh nghiệm,Công Ty TNHH Công Nghệ Huawei Việt Nam,"33F, Keangnam Landmark 72, Nam Tu Liem, Hanoi",Thương lượng,"Wireless Network, Telecommunications, Computer Science, RAN System, OS System",https://www.vietnamworks.com/4g-5g-ran-engineer--1840337-jv?source=searchResults&searchType=2&placement=1840337&sortBy=date,
Product Operations Specialist - Agi,Product Operations Specialist - Agi,,2 năm kinh nghiệm,Trusting Social,"Havana Tower, 132, Ham Nghi Str., Ben Thanh Ward, Dist. 1, HCMC",Thương lượng,"Product Operation, Product Development, Project management skills, Quality Process Improvement",https://www.vietnamworks.com/product-operations-specialist-agi-1840216-jv?source=searchResults&searchType=2&placement=1840716&sortBy=date,
Senior Business Intelligence,Senior Business Intelligence,Senior,4 năm kinh nghiệm,Navigos Search's Client,Hanoi,"$ 2,000-2,500 /tháng","Business Intelligence, Data Analysis, Machine Learning, Team Management",https://www.vietnamworks.com/senior-business-intelligence-1841318-jv?source=searchResults&searchType=2&placement=1841968&sortBy=date,
Chuyên Viên Chính Phân Tích và Chiến Lược Thu Hồi Nợ - Trung Tâm Fico,Chuyên Viên Chính Phân Tích và Chiến Lược Thu Hồi Nợ - Trung Tâm Fico,,2 năm kinh nghiệm,Ngân Hàng TMCP Tiên Phong (Tpbank),"Tòa nhà TPBank, 57 Lý Thường Kiệt, phường Trần Hưng Đạo",Từ $ 900 /tháng,"Phân Tích Dữ Liệu, Quản Lý Dữ Liệu, Big Data, Data Warehouse Systems, Data Lake",https://www.vietnamworks.com/chuyen-vien-chinh-phan-tich-va-chien-luoc-thu-hoi-no-trung-tam-fico--1840874-jv?source=searchResults&searchType=2&placement=1841324&sortBy=date,
Giám Đốc Công Nghệ Thông Tin Tập Đoàn Thành Viên,Giám Đốc Công Nghệ Thông Tin Tập Đoàn Thành Viên,,4 năm kinh nghiệm,Công Ty Cổ Phần Tập Đoàn Trường Hải (Thaco),"Tòa nhà SOFIC, số 10 Mai Chí Thọ, Khu Đô Thị Sala, Tp. Thủ Đức, Tp. HCM",Thương lượng,"AI/ML, CIO, CTO, ERP Implementation, Leadership",https://www.vietnamworks.com/giam-djoc-cong-nghe-thong-tin-tap-djoan-thanh-vien--1839270-jv?source=searchResults&searchType=2&placement=1839820&sortBy=date,
Chuyên Viên Lập Trình & Phát Triển Bitrix24 CRM (Bitrix24 Specialist),Chuyên Viên Lập Trình & Phát Triển Bitrix24 CRM Bitrix24 Specialist,,3 năm kinh nghiệm,Công Ty TNHH MTV Cho Thuê Tài Chính Ngân Hàng Sài Gòn Thương Tín,"278 Nam Kỳ Khởi Nghĩa, Phường 6, Quận 3, Tp.HCM",Thương lượng,"Bitrix24, Apache Webserver, Nginx, PHP, Kỹ Thuật",https://www.vietnamworks.com/chuyen-vien-lap-trinh-andamp-phat-trien-bitrix24-crm-bitrix24-specialist-1837383-jv?source=searchResults&searchType=2&placement=1837483&sortBy=date,
Cybersecurity Audit Manager,Cybersecurity Audit Manager,,5 năm kinh nghiệm,Navigos Search,Hanoi / HCMC,"$ 2,500-3,000 /tháng","Vulnerability Scanning, Penetration Testing, Network Security, IT Auditing, Communication Skills",https://www.vietnamworks.com/cybersecurity-audit-manager-1844354-jv?source=searchResults&searchType=2&placement=1844754&sortBy=date,
Automotive Test Engineer (Manual),Automotive Test Engineer Manual,,1 năm kinh nghiệm,LG Electronics Development Vietnam Company Limited,"Tầng 17-21 Lotte Mall Tây Hồ, Võ Chí Công, Tây Hồ Hà Nội","$ 600-1,500 /tháng","Software Programming, Software Testing, Test Cases, Automation Test Script, Automotive Engineering",https://www.vietnamworks.com/automotive-test-engineer-manual-1832548-jv?source=searchResults&searchType=2&placement=1832548&sortBy=date,
Devops Engineer,Devops Engineer,,Không yêu cầu năm kinh nghiệm,GSM,"Symphony Office, đường Chu Huy Mân, Long Biên, Hà Nội","$ 1,000-3,000 /tháng","Software Development, Software Architecture Design, DevOps, Cloud AWS, Cloud",https://www.vietnamworks.com/devops-engineer--1836640-jv?source=searchResults&searchType=2&placement=1836840&sortBy=date,
Senior Data Governance - Hà Nội - Ta139,Senior Data Governance - Hà Nội - Ta139,Senior,3 năm kinh nghiệm,VPBank - Https://tuyendung.vpbank.com.vn/,"Khối Quản Trị Nguồn Nhân Lực - 89 Láng Hạ, Quận Đống Đa, Hà Nội",Thương lượng,"Databases, ngân hàng, Quản Trị Dữ Liệu, SQL, Tài Chính",https://www.vietnamworks.com/senior-data-governance-ha-noi-ta139-1830661-jv?source=searchResults&searchType=2&placement=1830661&sortBy=date,
SAP MM Specialist,SAP MM Specialist,,Không yêu cầu năm kinh nghiệm,Vinfast Trading And Production JSC,"Symphony Building, Chu Huy Man Street, Hanoi, Vietnam",Thương lượng,"SAP S/4HANA, SAP PP, SAP Material Management, SAP Master Data, SAP ECC 6.0",https://www.vietnamworks.com/sap-mm-specialist--1835853-jv?source=searchResults&searchType=2&placement=1835903&sortBy=date,
Pre-sale Engineer,Pre-sale Engineer,,1 năm kinh nghiệm,CÔNG TY CP ĐẦU TƯ CÔNG CÔNG NGHỆ VÀ GIẢI PHÁP TMC VIỆT NAM,,15tr-25tr ₫/tháng,"Giải Pháp Bảo Mật, Bán Hàng Kỹ Thuật, Kinh Doanh, Physical Security, Tư Vấn",https://www.vietnamworks.com/pre-sale-engineer-1837675-jv?source=searchResults&searchType=2&placement=1838125&sortBy=date,
IT Engineer,IT Engineer,,3 năm kinh nghiệm,Công ty TNHH BIGL Việt Nam,"Lot CN1-1, Song Cong II IP, Tan Quang Commune, Song Cong City, Thai Nguyen Province","$ 800-1,500 /tháng","Technical Support, Systems Engineering, Database Administration, Software Development, Problem-solving",https://www.vietnamworks.com/it-engineer-1827653-jv?source=searchResults&searchType=2&placement=1827953&sortBy=date,
Web Developer,Web Developer,,Không yêu cầu năm kinh nghiệm,Công Ty Cổ Phần Thế Giới Công Nghệ Phần Mềm,"Floor 8, Dai Minh Building, 77 Hoang Van Thai, Tan Phu Ward, Dist. 7, HCMC","$ 500-1,000 /tháng","MySQL, JavaScript, C#, ASP.NET, .NET",https://www.vietnamworks.com/web-developer--1838519-jv?source=searchResults&searchType=2&placement=1838869&sortBy=date,
Senior Automation Tester,Senior Automation Tester,Senior,3 năm kinh nghiệm,FPT Software,"[HCM]Lô T2, đường D1, khu Công nghệ cao, Quận 9, Tp.Hồ Chí Minh; [HN]Tòa nhà FPT, 17 Duy Tân, Cầu Giấy, Hà Nội; [DN] Tòa Nhà FPT Complex, Đường Nam Kỳ Khởi Nghĩa, Phường Hoà Hải, Quận Ngũ Hành Sơn, TP Đà Nẵng",Thương lượng,"Agile, Automation Testing, SQL, Unit Testing, API Testing",https://www.vietnamworks.com/senior-automation-tester--1835901-jv?source=searchResults&searchType=2&placement=1836101&sortBy=date,
.NET Developer Fulltime Remote,.NET Developer Fulltime Remote,,2 năm kinh nghiệm,Soda Digital,"Level 21, 233 Castlereagh St Sydney, NSW 2000 Australia","$ 1,000-2,000 /tháng",".Net Core, MS SQL, Entity Framework, Umbraco, JavaScript",https://www.vietnamworks.com/net-developer-fulltime-remote-1842363-jv?source=searchResults&searchType=2&placement=1842963&sortBy=date,
[HCM] Business Analyst - Delivery,HCM Business Analyst - Delivery,,3 năm kinh nghiệm,Pizza 4P's,"92 Nguyen Huu Canh Street, Ward 22, Binh Thanh District, Ho Chi Minh City",Thương lượng,"English fluency, Analytical Skills, F&B Business, Communication English",https://www.vietnamworks.com/hcm-business-analyst-delivery-1842174-jv?source=searchResults&searchType=2&placement=1842824&sortBy=date,
CVCC Kiểm Định Mô Hình - Model Validation Senior Specialist - Khối Dữ Liệu (Ho24.302),CVCC Kiểm Định Mô Hình - Model Validation Senior Specialist - Khối Dữ Liệu Ho24.302,Senior,1 năm kinh nghiệm,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,"19th – MB Building,18 Le Van Luong Str., Cau Giay Dist. Hanoi, Vietnam",Thương lượng,"SQL, Data Visualization, Khoa Học Dữ Liệu, Power BI, Thu Thập Dữ Liệu",https://www.vietnamworks.com/cvcc-kiem-djinh-mo-hinh-model-validation-senior-specialist-khoi-du-lieu-ho24-302-1842171-jv?source=searchResults&searchType=2&placement=1842521&sortBy=date,
IT Service Desk,IT Service Desk,,1 năm kinh nghiệm,Shinhan Vietnam Finance Company Limited,17F & 23/F. Saigon Trade Center. 37 Ton Duc Thang. D.1. HCMC. Vietnam,Thương lượng,"IT Helpdesk, IT Support, File Server, LAN",https://www.vietnamworks.com/it-service-desk--1844122-jv?source=searchResults&searchType=2&placement=1844572&sortBy=date,
System Engineer,System Engineer,,3 năm kinh nghiệm,"Wide Viet Nam CO., LTD.","37 Ton Duc Thang Street, Ben Nghe Ward, District 1, Ho Chi Minh City",Thương lượng,"Azure, Fortigate Firewall, Microsoft Office 365, Quản Trị Hạ Tầng Cisco, Veeam Backup",https://www.vietnamworks.com/system-engineer-1836060-jv?source=searchResults&searchType=2&placement=1836660&sortBy=date,
Senior Project Manager (Tech & Non Tech),Senior Project Manager Tech & Non Tech,Senior,4 năm kinh nghiệm,"Neyu Ltd.,","17-19 Tôn Thất Tùng, Quận 1, Thành phố Hồ Chí Minh",Thương lượng,"Project Management, Business Development, Call Center Management, Pmp Certification, Call Center System",https://www.vietnamworks.com/senior-project-manager-tech-non-tech-1843329-jv?source=searchResults&searchType=2&placement=1843529&sortBy=date,
UI/UX Designer,UI/UX Designer,,3 năm kinh nghiệm,Công Ty Cổ Phần Chứng Khoán SSI,1C Ngô Quyền - Hoàn Kiếm - Hà Nội,Thương lượng,"UI/UX, Figma, UX Research, Mobile App, Thiết Kế Website",https://www.vietnamworks.com/ui-ux-designer--1842641-jv?source=searchResults&searchType=2&placement=1843241&sortBy=date,
IC TEST Development Engineer,IC TEST Development Engineer,,5 năm kinh nghiệm,Công Ty TNHH Qorvo Việt Nam,"5th Floor, CIC Tower - 219 Trung Kinh Street, Cau Giay District, Hanoi",Thương lượng,"PCB Layout Design, I2C, C/C++ Programming, Hardware Testing, Debug",https://www.vietnamworks.com/ic-test-development-engineer--1824159-jv?source=searchResults&searchType=2&placement=1824159&sortBy=date,
SAP FICO Specialist,SAP FICO Specialist,,Không yêu cầu năm kinh nghiệm,Công Ty Trách Nhiệm Hữu Hạn Sản Xuất Và Kinh Doanh Vinfast - Thành Viên Của Vingroup,"Tòa nhà T13 (Tower1), Khu đô thị Times City, Quận Hai Bà Trưng, Hà Nội",Thương lượng,SAP,https://www.vietnamworks.com/sap-fico-specialist--1835859-jv?source=searchResults&searchType=2&placement=1835909&sortBy=date,
Chuyên Viên Kiểm Soát Số Liệu Tài Chính - Financial Data Controller - Khối Tài Chính Kế Toán (Ho24.321),Chuyên Viên Kiểm Soát Số Liệu Tài Chính - Financial Data Controller - Khối Tài Chính Kế Toán Ho24.321,,2 năm kinh nghiệm,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,"19th – MB Building,18 Le Van Luong Str., Cau Giay Dist. Hanoi, Vietnam",Thương lượng,"Big Data, Data Engineer, Data Lake, Open Source Framework, Spark",https://www.vietnamworks.com/chuyen-vien-kiem-soat-so-lieu-tai-chinh-financial-data-controller-khoi-tai-chinh-ke-toan-ho24-321-1844728-jv?source=searchResults&searchType=2&placement=1845078&sortBy=date,
Chuyên Viên Phân Tích Nghiệp Vụ,Chuyên Viên Phân Tích Nghiệp Vụ,,5 năm kinh nghiệm,"Công Ty Cổ Phần Công Nghệ Thông Tin, Viễn Thông Và Tự Động Hoá Dầu Khí","Tầng 17 tòa nhà Icon4 số 243A Đê La Thành, Láng Thượng, Đống Đa, Hà Nội",250tr-500tr ₫/năm,"ERP, Business Analysis, Công Nghệ Thông Tin, Triển Khai Hệ Thống, Phân Tích Nghiệp Vụ",https://www.vietnamworks.com/chuyen-vien-phan-tich-nghiep-vu--1840722-jv?source=searchResults&searchType=2&placement=1840722&sortBy=date,
[Hải Phòng] Chuyên viên hạ tầng CNTT,Hải Phòng Chuyên viên hạ tầng CNTT,,1 năm kinh nghiệm,VINFAST TRADING AND PRODUCTION JSC,"Symphony Building, Chu Huy Man Street, Hanoi, Vietnam",Thương lượng,"An Ninh Mạng, Công Nghệ Thông Tin, Dịch Vụ Viễn Thông, Giao Tiếp, Điện Tử Viễn Thông",https://www.vietnamworks.com/hai-phong-chuyen-vien-ha-tang-cntt-1835244-jv?source=searchResults&searchType=2&placement=1835294&sortBy=date,
Chuyên Viên IT,Chuyên Viên IT,,5 năm kinh nghiệm,Công Ty Cổ Phần Quản Lý Đầu Tư ACD,"Tòa nhà HOPE Residences, phố Chu Huy Mân, quận Long Biên, Hà Nội",Thương lượng,"Hardware Support, Hardware Maintenance, Kiểm Tra Phần Cứng, Cài Đặt Phần Mềm, Công Nghệ Thông Tin",https://www.vietnamworks.com/chuyen-vien-it--1835479-jv?source=searchResults&searchType=2&placement=1835729&sortBy=date,
Embedded Software Engineer (Automotive),Embedded Software Engineer Automotive,,Không yêu cầu năm kinh nghiệm,Hitachi Digital Services,"Floor 3rd, 4th Helios Building - Floor 9th QTSC9 Building, Quang Trung Software City, Tan Chanh Hiep Ward, District 12",Thương lượng,"Embedded Software, Automotive, AUTOSAR, C/C++, MCU Programming",https://www.vietnamworks.com/embedded-software-engineer-automotive--1837772-jv?source=searchResults&searchType=2&placement=1837872&sortBy=date,
Project Management Office (PMO) Assistant,Project Management Office PMO Assistant,,Không yêu cầu năm kinh nghiệm,Chi Nhánh Công Ty TNHH KPMG,"10Floor, 115 Nguyễn Huệ, Ho Chi Minh City, Ho Chi Minh, Vietnam",Thương lượng,"Problem Solving, Project Management, Oracle, Scrum",https://www.vietnamworks.com/project-management-office-pmo-assistant-1843851-jv?source=searchResults&searchType=2&placement=1844301&sortBy=date,
Automation Test Engineer,Automation Test Engineer,,2 năm kinh nghiệm,Navigos Search,Hanoi / HCMC,"$ 1,000-2,000 /tháng","Automated Software Testing, Evaluation Method, Test Design, Python Programming, Troubleshooting",https://www.vietnamworks.com/automation-test-engineer-110-1844557-jv?source=searchResults&searchType=2&placement=1844957&sortBy=date,
Project Coordinator ITS,Project Coordinator ITS,,3 năm kinh nghiệm,RMIT University Vietnam,"702 Nguyen Van Linh Boulevard, Tan Phong Ward, Dist.7, Ho Chi Minh City",Thương lượng,"Communication, Customer Service, Microsoft Office, Project Coordination, Time Management",https://www.vietnamworks.com/project-coordinator-its-1843465-jv?source=searchResults&searchType=2&placement=1844015&sortBy=date,
IT Japanese Communicator,IT Japanese Communicator,,2 năm kinh nghiệm,LG Electronics Development Vietnam Company Limited,"Tòa Lotte Mall 272 Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội","$ 800-1,200 /tháng","Japanese N2, Problem Management, Teamwork, TOEIC 700, It Background",https://www.vietnamworks.com/it-japanese-communicator-1844347-jv?source=searchResults&searchType=2&placement=1844497&sortBy=date,
"Back-end Developer (Java, SQL, Spring, English,chinese)","Back-end Developer Java, SQL, Spring, English,chinese",,1 năm kinh nghiệm,Công Ty TNHH Clever Creations Tech,"459 Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh","$ 500-1,500 /tháng","Java, SQL, Java Spring Framework, Chinese Madarin, B2 English",https://www.vietnamworks.com/back-end-developer-java-sql-spring-english-chinese--1840285-jv?source=searchResults&searchType=2&placement=1840785&sortBy=date,
Chuyên Viên Sản Phẩm/ Product Specialist,Chuyên Viên Sản Phẩm/ Product Specialist,,2 năm kinh nghiệm,"Transmedic Healthcare Co., LTD","Lầu 3, tòa nhà Phượng Long, số 506 Nguyễn Đình Chiểu, Phường 4, Quận 3, Tp.HCM",Thương lượng,"Biomedical Engineering, Electrical Engineering, English, Technical Support, Preventive Maintenance",https://www.vietnamworks.com/chuyen-vien-san-pham-product-specialist--1841690-jv?source=searchResults&searchType=2&placement=1842340&sortBy=date,
Web Developer (Tiếng Nhật N1~N4),Web Developer Tiếng Nhật N1~N4,,Không yêu cầu năm kinh nghiệm,Công Ty TNHH Gmo-Z.com Financial System VN,"5th Floor, Ocean Park Building, 1 Đào Duy Anh, Phương Mai, Đống Đa, Hà Nội","$ 1,000-3,000 /tháng","React, Website Development, Node.js, Tiếng Nhật N4, Unit Testing",https://www.vietnamworks.com/web-developer-tieng-nhat-n1-n4--1843624-jv?source=searchResults&searchType=2&placement=1844124&sortBy=date,
Nhân Viên Triển Khai Phần Mềm POS,Nhân Viên Triển Khai Phần Mềm POS,,1 năm kinh nghiệm,Công Ty Cổ Phần Công Nghệ KAS,"10 Lương Định Của, Khu Phố 11, Phường An Khánh, Thành phố Thủ Đức, TP Hồ Chí Minh",Thương lượng,"POS System, POS Software Testing, Triển Khai Phần Mềm, Đào Tạo Khách Hàng, Hỗ Trợ Kỹ Thuật",https://www.vietnamworks.com/nhan-vien-trien-khai-phan-mem-pos-1838923-jv?source=searchResults&searchType=2&placement=1839573&sortBy=date,
Linux System Engineer,Linux System Engineer,,1 năm kinh nghiệm,Công Ty TNHH Thankslab Việt Nam,"Tầng 2, Tòa nhà Mach, 127 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"Aws, Docker, Docker, Docker, Linux, NodeJS, PHP",https://www.vietnamworks.com/linux-system-engineer--1845286-jv?source=searchResults&searchType=2&placement=1845586&sortBy=date,
[$4000 - $5000] Software Engineering Manager (Front-End),$4000 - $5000 Software Engineering Manager Front-End,,5 năm kinh nghiệm,Navigos Search's Client,Hanoi,"$ 4,000-5,000 /tháng","Angular, Angular, Angular, Front-End, Kotlin, Swift, Swift, Typescript",https://www.vietnamworks.com/dollar4000-dollar5000-software-engineering-manager-front-end-1841328-jv?source=searchResults&searchType=2&placement=1841978&sortBy=date,
Chuyên Viên Hỗ Trợ Người Dùng (IT Helpdesk),Chuyên Viên Hỗ Trợ Người Dùng IT Helpdesk,,Không yêu cầu năm kinh nghiệm,Tập Đoàn BRG (BRG Group),"BRG Tower - 198 Trần Quang Khải, Lý Thái Tổ, Hoàn Kiếm, Hà Nội",Thương lượng,"IT Helpdesk, Công Nghệ Thông Tin, IT Phần Cứng, IT System Administration",https://www.vietnamworks.com/chuyen-vien-ho-tro-nguoi-dung-it-helpdesk--1838926-jv?source=searchResults&searchType=2&placement=1839576&sortBy=date,
Vận Hành Games (Ưu Tiên Tiếng Trung ),Vận Hành Games Ưu Tiên Tiếng Trung,,2 năm kinh nghiệm,Công Ty TNHH Dịch Vụ Tư Vấn Bát Giới,"170-170Bis-172E Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","$ 780-1,100 /tháng","Game Research, Game Operation, Vận Hành Game, Mobile Game Development, Technology Development",https://www.vietnamworks.com/van-hanh-games-uu-tien-tieng-trung-1839446-jv?source=searchResults&searchType=2&placement=1839946&sortBy=date,
Release Train Engineer,Release Train Engineer,,8 năm kinh nghiệm,Capgemini Vietnam,"Centre Point, 106 Nguyễn Văn Trỗi, Phường 08, Quận Phú Nhuận, Thành phố Hồ Chí Minh",Thương lượng,"Agile Project Management, Scrum Master, Stakeholder Management, Project Management, Lifecycle Management",https://www.vietnamworks.com/release-train-engineer--1836412-jv?source=searchResults&searchType=2&placement=1836412&sortBy=date,
C/C++ Linux Software Engineer,C/C++ Linux Software Engineer,,Không yêu cầu năm kinh nghiệm,LG Electronics Development Viet Nam Company Limited,"Tầng 32 và tầng 36, Keangnam Hanoi Landmark Tower, Lô E6, Khu đô thị mới Cầu Giấy, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam","$ 1,000-2,500 /tháng","C/C++, Linux Embedded, Linux, Software Development, Software Engineering",https://www.vietnamworks.com/c-c-plus-plus-linux-software-engineer-1827165-jv?source=searchResults&searchType=2&placement=1827215&sortBy=date,
Software Developer,Software Developer,,3 năm kinh nghiệm,"WANEK FURNITURE CO., LTD.","No. 11, Street 6, Vietnam Singapore Industrial Park II, Hoa Phu Ward, Thu Dau Mot City, Binh Duong Province",Thương lượng,"AS400, English Language Proficiency, ERP System, ERP System, Software Development Lifecycle, Software Development Lifecycle, Software Development Lifecycle, Software Management",https://www.vietnamworks.com/software-developer-1837948-jv?source=searchResults&searchType=2&placement=1838298&sortBy=date,
IT Support Specialist,IT Support Specialist,,Không yêu cầu năm kinh nghiệm,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,"Tầng 5, Pax Sky, 63-65 Ngô Thì Nhậm, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, TP Hà Nội, Việt Nam",Thương lượng,"IT System Administration, IT Helpdesk, IT Support, Infrastructure Supervision, Application Support",https://www.vietnamworks.com/it-support-specialist--1840590-jv?source=searchResults&searchType=2&placement=1840790&sortBy=date,
"Data Analyst (SQL, Power Bi, Database)","Data Analyst SQL, Power Bi, Database",,2 năm kinh nghiệm,Ngân Hàng TMCP Quốc Tế Việt Nam (VIB),"Sailing Tower, số 111A Pasteur, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",Thương lượng,"Data analysis, SQL, Power BI, Python",https://www.vietnamworks.com/data-analyst-sql-power-bi-database-1841115-jv?source=searchResults&searchType=2&placement=1841565&sortBy=date,
Kỹ Sư Công Nghệ Thông Tin (IT),Kỹ Sư Công Nghệ Thông Tin IT,,2 năm kinh nghiệm,Công Ty TNHH CTCI Việt Nam,"Tầng 6, toà nhà Charmvit, 117 Trần Duy Hưng, Trung Hòa, Cầu Giấy, Hà Nội",Thương lượng,"Quản Trị Mạng Công Ty, Quản Trị Dữ Liệu, Hệ Thống Điện Thoại, Công Nghệ Thông Tin, Quản Trị Hệ Thống",https://www.vietnamworks.com/ky-su-cong-nghe-thong-tin-it--1837785-jv?source=searchResults&searchType=2&placement=1837885&sortBy=date,
Kỹ Sư Kiểm Thử Sản Xuất,Kỹ Sư Kiểm Thử Sản Xuất,,Không yêu cầu năm kinh nghiệm,Navigos Search's Client,Hanoi,"$ 800-1,200 /tháng","Testing, Electronic Troubleshooting, English, Wireshark, PLC",https://www.vietnamworks.com/ky-su-kiem-thu-san-xuat-1835506-jv?source=searchResults&searchType=2&placement=1836206&sortBy=date,
Business Analyst,Business Analyst,,3 năm kinh nghiệm,Công Ty Cổ Phần Tập Đoàn Golden Gate,"Tầng 6, tòa nhà Toyota Thanh Xuân, 315 Trường  Chinh, Hà Nội",Thương lượng,"Product Development, Business Analysis, Information System, Agile, F&B Business",https://www.vietnamworks.com/business-analyst--1837298-jv?source=searchResults&searchType=2&placement=1837748&sortBy=date,
Senior Business Analyst (Analytics Consultant),Senior Business Analyst Analytics Consultant,Senior,2 năm kinh nghiệm,MiTek Việt Nam,"Tòa nhà A5, Lô số A5, khu E-Office, đường Sáng Tạo, KCX Tân Thuận, P. Tân Thuận Đông, Q.7, TP.HCM.",Thương lượng,"Business Analysis, Data Analytics, Business Analyst, English B2, Consultant",https://www.vietnamworks.com/senior-business-analyst-analytics-consultant-1844734-jv?source=searchResults&searchType=2&placement=1845084&sortBy=date,
Senior .NET Developer,Senior .NET Developer,Senior,5 năm kinh nghiệm,Capgemini Vietnam,"Centre Point, 106 Nguyễn Văn Trỗi, Phường 08, Quận Phú Nhuận, Thành phố Hồ Chí Minh",Thương lượng,"Web API, Azure, .Net, C#, OOP",https://www.vietnamworks.com/senior-net-developer--1840906-jv?source=searchResults&searchType=2&placement=1840956&sortBy=date,
QC Tester Automation,QC Tester Automation,,Không yêu cầu năm kinh nghiệm,MCGAAW,"5th Floor, Unit 5.4&5.5, E-Town 1, 364 Cong Hoa Street, Tan Binh District, Ho Chi Minh City, VietNam.",Thương lượng,"Test Automation Tools, Programning Languages, API Testing, Automation Testing, Software Testing",https://www.vietnamworks.com/qc-tester-automation-1841531-jv?source=searchResults&searchType=2&placement=1841831&sortBy=date,
"IOS Developer (Junior, HCM)","IOS Developer Junior, HCM",Junior,1 năm kinh nghiệm,FPT Telecom,"Tòa FPT Tower, Số 10 Phạm Văn Bạch, Yên Hòa, Cầu Giấy, Hà Nội",Thương lượng,"iOS Development, Material Design, Objective C, Swift, Swift, Web Service",https://www.vietnamworks.com/ios-developer-junior-hcm-1836258-jv?source=searchResults&searchType=2&placement=1836458&sortBy=date,
SAP ABAP Performance Architect (Joining Bonus),SAP ABAP Performance Architect Joining Bonus,,7 năm kinh nghiệm,Bosch Global Software Technologies Company Limited,"Etown 2, 364 Cong Hoa street, ward 13, Tan Binh district, HCM",Thương lượng,Computer Science,https://www.vietnamworks.com/sap-abap-performance-architect-joining-bonus--1841500-jv?source=searchResults&searchType=2&placement=1841950&sortBy=date,
"Phân Tích Cường Độ Của Máy Xúc Xây Dựng (Bộ Phận Cabin)(pm: HyperMesh, Radioss)","Phân Tích Cường Độ Của Máy Xúc Xây Dựng Bộ Phận Cabin pm: HyperMesh, Radioss",,1 năm kinh nghiệm,Công Ty TNHH R Techno Việt Nam,"107 Đường Tân Cảng, Phường 25, Quận Bình Thạnh, TP.HCM",Thương lượng,"Hypermesh, Radioss, Thiết Kế Máy Xây Dựng, Tiếng Nhật N3, Phân Tích Cường Độ",https://www.vietnamworks.com/phan-tich-cuong-djo-cua-may-xuc-xay-dung-bo-phan-cabin-pm-hypermesh-radioss-1831161-jv?source=searchResults&searchType=2&placement=1831611&sortBy=date,
